Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_growth_in_Revenues_Next_2_years,Expected_Growth_in_EPS_Next_5_years,Gross_Margin,Net_Margin,EBITDA_Sales,Current_PE,PEG_Ratio,ROE_unadjusted
Advertising,61,-0.00956,0.083146,-0.0365891666666667,0.834357142857143,0.239865720641909,0.00344677621050737,0.173910347300294,20.9489207184527,0.18926381845483,0.0293327064487816
Aerospace/Defense,72,0.0668913043478261,0.0528355813953488,0.0325934285714286,0.0577592857142857,0.17606050568953,0.0249212709924859,0.125879024701077,291.557254608136,3.55081800686469,0.0854318880375593
Air Transport,17,0.174,-0.0682291666666667,-0.1603,-0.142658333333333,0.0537923738620844,-0.25034764274435,0.30741049056383,8.14283894058484,NULL,-0.470268539140454
Apparel,51,-0.022575,-0.0355531034482759,0.0341183333333333,0.136007692307692,0.497666943043146,-0.0394116961510552,0.143260566130722,22.3833444579748,1.62857068781418,-0.0818809663190799
Auto & Truck,19,-0.0342,0.121916666666667,0.62238,0.188,0.0903791611702389,0.0140150770828895,0.0946503601158946,164.370907938564,8.87042612071082,0.044885246411493
Auto Parts,52,-0.0173646153846154,0.0402103571428571,0.777702916666667,0.124180625,0.136890832373126,-0.0445074835762937,0.122611060476302,27.4295835435389,2.91885037250055,-0.143106927797667
Bank (Money Center),7,-0.0548,-0.00776833333333333,-0.032728,0.052716,1,0.209756099132571,0,8.46046230459556,2.83495581093994,0.0741320864778279
Banks (Regional),598,0.130076377171216,0.0882459718969555,0.0571415,0.0574085454545455,0.997507167246229,0.237932366450169,0,13.499386028883,2.31797662942246,0.0821637612403821
Beverage (Alcoholic),23,0.07265,0.1439,0.0926383333333333,0.175322,0.470997501277149,0.119511626863088,0.291584840083875,45.636174933573,2.06360577843097,0.101032197266069
Beverage (Soft),41,0.12736,0.27075,0.15276,0.102433333333333,0.557310065824789,0.141046575237753,0.238091761841223,201.337460512777,2.93172438343594,0.288572462667818
Broadcasting,29,0.0850333333333333,0.057983,0.0418117647058823,0.12927,0.457465651103035,0.00123605161065211,0.244642895937529,15.1018279893512,0.961205501552058,0.00238502064463092
Brokerage & Investment Banking,39,0.158526315789474,0.0951434782608696,0.0777982352941177,0.0888375,0.608272255360689,0.127096644361123,0.00559303091034612,21.1429136504982,1.80515637195564,0.120760929745141
Building Materials,42,0.125047368421053,0.0747327586206896,0.0576524137931035,0.152824,0.283844928740862,0.0506056767896689,0.137675335189535,28.1881235762788,1.42617974662661,0.205385212596375
Business & Consumer Services,169,0.0626605263157895,0.0753336486486486,0.02123484375,0.122817021276596,0.368093820877907,0.0246863682791735,0.145858070920444,38.247789643017,3.28281643907552,0.0680907273506252
Cable TV,13,0.131433333333333,0.0669875,0.05237,0.294128571428572,0.628839528316052,0.0849959787976708,0.322942090572697,68.4624031387063,1.03897200304955,0.11465857561739
Chemical (Basic),48,0.06741,0.225072608695652,0.00288066666666667,0.0969545454545454,0.141299032554554,-0.00717719923285514,0.177545487784772,13.8041737636776,1.78789772023366,-0.018172614575979
Chemical (Diversified),5,0.3625,0.28994,0.013105,0.0555333333333333,0.197501888992796,0.0643099905272938,0.148538388671491,13.8895309664805,2.35083665116797,0.132534875943917
Chemical (Specialty),97,0.0264744444444444,0.0593541818181818,0.04162325,0.0917793103448276,0.346596370307826,0.0220514735481195,0.206970150869168,36.0620643098682,3.39562673486598,0.0249999672689438
Coal & Related Energy,29,0.0504,-0.141845454545455,0.0288888888888889,-0.209,0.197253978916047,-0.317944342361647,0.263399523695854,2.85285669716301,NULL,-0.416638465712927
Computer Services,116,0.1047648,0.09404,0.0271032258064516,0.099784,0.27159105340819,0.0361580063422289,0.124049567727774,45.3826301181822,1.86260583276992,0.134996168935105
Computers/Peripherals,52,0.0767714285714286,0.04061,0.0397282608695652,0.123046153846154,0.338237174203958,0.124826903763048,0.201473528692631,40.6116685783813,2.96871818438569,0.505307000765914
Construction Supplies,46,0.0757177272727273,0.0350244444444444,-0.0225277419354839,0.112147826086957,0.21466756840044,0.0585813443283403,0.179685970730086,84.9875683157608,2.26677440883124,0.132036523191989
Diversified,29,0.0642375,0.00507636363636364,0.0125272727272727,0.0958428571428571,0.250732190883021,0.121796834854391,0.349470658802714,26.1753229164721,1.8625848661456,0.106207551869821
Drugs (Biotechnology),547,0.12155,0.326398571428571,1.44012701834862,0.1896,0.641966399812269,-0.00940363872982796,0.155428313379284,31.0024651114615,1.13627330707685,-0.0118784037857747
Drugs (Pharmaceutical),287,0.116915,0.32655375,1.40368362637363,0.112835416666667,0.706757138290483,0.141004194606194,0.32252759262901,122.815806627887,2.08599767075108,0.189789250358616
Education,38,0.132116666666667,0.0100888888888889,0.611806666666667,0.1476,0.411540311138991,-0.0482347735068904,0.144744691125314,26.920903829737,1.74549243848897,-0.0566281309930092
Electrical Equipment,122,0.0157071428571429,0.0421161111111111,0.212228421052632,0.0185136363636364,0.345668489940371,0.076279642544095,0.17763026675863,51.6100632197083,15.9315123036958,0.176672137071669
Electronics (Consumer & Office),22,0.0308,0.0169416666666667,0.108116666666667,0.2095,0.356864662346095,-0.0153021212713395,0.0288392016191828,57.056173755296,0.656857033682246,-0.048857210527874
Electronics (General),157,0.0017884375,0.0287723913043478,0.269071818181818,0.151469444444444,0.265257317647947,0.0348763106551417,0.136452036000147,81.0908083079362,2.72336264211604,0.0666852037297395
Engineering/Construction,61,0.180403333333333,0.0357003448275862,0.152582857142857,0.113254166666667,0.140858474998043,0.00749576944885329,0.0570038594239484,27.4248270137206,2.38368761859886,0.025369098163714
Entertainment,118,0.33098,0.063537037037037,0.133426923076923,0.170272727272727,0.392511282474909,-0.0300094092072445,0.149730645023736,908.123290030741,3.18291334531972,-0.0286680306441766
