Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_growth_in_Revenues_Next_2_years,Expected_Growth_in_EPS_Next_5_years,Gross_Margin,Net_Margin,EBITDA_Sales,Current_PE,PEG_Ratio,ROE_unadjusted
Advertising,58,0.233825,0.181669523809524,0.203751538461539,0.00795555555555554,0.291670838454195,0.0379049284250278,0.14069679939974,1311.13331281281,15.6300991593116,0.135674155345355
Aerospace/Defense,77,0.0504481481481481,0.0399225581395349,0.389219534883721,0.0813873913043478,0.166942735942657,0.0405174445469827,0.136437599710268,39.289149949444,2.9904686685022,0.0987258808260477
Air Transport,21,-0.237,0.0224125,0.318746666666667,0.22525,0.212016898886307,-0.0170576061079427,-0.0331024411397553,25.1418063352238,1.85156960859976,-0.113688106257363
Apparel,39,0.11,0.0583569565217391,0.0396326086956522,0.0563785714285714,0.518356922582924,0.0507029203603057,0.141871200955265,9.46581742959498,2.11992218818537,0.13522490180675
Auto & Truck,31,0.20132,0.280595,13.2839833333333,0.1737,0.147047141910636,0.0501978955401381,0.0964222708652698,14.0652731173005,0.89150139757298,0.15677154224933
Auto Parts,37,0.083675,0.0707433333333333,0.1539125,0.221521428571429,0.14562720023654,0.0215946690751846,0.0926829026028625,36.0925304639964,0.671801780117238,0.0703387801560853
Bank (Money Center),7,0.01288,0.0194,0.0656,0.019862,1,0.26961922356665,0,7.11691161240589,4.76247862997067,0.113450743251856
Banks (Regional),557,0.181403659090909,0.11019711409396,0.135980901639344,0.111544444444445,0.997858593442928,0.30311590293767,0,25.8079452637827,0.943861559343606,0.11799058812596
Beverage (Alcoholic),23,-0.12308,0.1254375,0.166177777777778,0.465966666666667,0.444203895079942,0.0576123210820566,0.260584623794542,61.6486819839073,1.19016690716548,0.0528462358512302
Beverage (Soft),31,0.1739,0.150485454545455,0.175354545454546,0.121133333333333,0.535524104674089,0.145965753460969,0.217109345094232,211.70886254762,2.28362503357354,0.31944669288622
Broadcasting,26,0.213645454545455,0.195441111111111,0.02599,0.2535,0.400261036843416,0.118996334795474,0.192045083716143,7.58912212641693,0.185340540568853,0.207585838324481
Brokerage & Investment Banking,30,0.276,0.1422875,-0.0262436842105263,0.19226,0.618132840552919,0.160054069005359,0.00429132314038977,16.4361157296603,0.661083640170821,0.134336667552373
Building Materials,45,0.193242307692308,0.105975,0.22911,0.109711538461538,0.294504870224427,0.102955548092774,0.135883086586539,28.5005173872277,0.900034251833378,0.327287768396036
Business & Consumer Services,164,0.156001914893617,0.0846428,0.0869566666666667,0.169038181818182,0.312039840403183,0.0491579614035496,0.125793503574265,48.3733202640257,1.33858984962796,0.128504281494828
Cable TV,10,0.312975,0.200488888888889,-0.0104455555555555,0.13911875,0.586211874692045,0.0791471283033265,0.312781194391602,10.7149930881107,1.07928684875675,0.121375654463761
Chemical (Basic),38,0.0921621428571428,0.2702,0.103919285714286,-0.102183636363636,0.178528430672396,0.0970217592324215,0.178576777462406,9.66698829133905,NULL,0.34777022369023
Chemical (Diversified),4,0.2155,0.017525,0.0686,0.135,0.239697928633513,0.131615311660379,0.131541325963504,12.2173574561404,0.358289873007455,0.434362310815799
