Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_growth_in_Revenues_Next_2_years,Expected_Growth_in_EPS_Next_5_years,Gross_Margin,Net_Margin,EBITDA_Sales,Current_PE,PEG_Ratio,ROE_unadjusted
Advertising,47,0.12284,0.1898457895,0.096625714,0.129233333,0.258088611423635,0.0329543091567489,0.150852983371993,20.01,1.07,26.08%
Aerospace/Defense,77,0.07847259259,0.03526065217,0.114320556,0.119275862,0.203284592515828,0.0724565224814992,0.148156882838545,35.11,2.08,31.42%
Air Transport,18,0.1670727273,0.04841666667,0.051533333,0.116491667,0.303202286933549,0.0748850561799503,0.153813910557403,14.87,0.79,28.20%
Apparel,51,-0.053695,-0.02563724138,0.035063462,0.09846875,0.495219881593883,0.0586927057850713,0.131198382512066,25.76,2.1,16.72%
Auto & Truck,13,0.010724,0.1431333333,1.997424286,0.274,0.104921377023515,0.0303680686894926,0.081822644367921,14.77,0.33,12.43%
Auto Parts,46,0.06122733333,0.04981034483,0.46059625,0.08665,0.1577085895064,0.0304591823077383,0.115736175036396,16.42,1.54,12.56%
Bank (Money Center),7,0.129915,0.02112,0.003536,0.09706,1,0.306335627167646,0,10.56,1.15,12.80%
Banks (Regional),611,0.1793297156,0.1013484055,0.080794857,0.091617544,0.998553387205139,0.305031804629718,0,16.99,1.45,12.05%
Beverage (Alcoholic),21,0.02902333333,0.107733,0.202871429,0.140316667,0.466047563511722,0.0793672962480679,0.278380378852809,37.92,3.1,6.88%
Beverage (Soft),34,0.12967,0.3074641667,0.27346,0.12074,0.563086320188035,0.185007557888692,0.226093660135873,34.49,1.86,40.25%
Broadcasting,27,0.1058172727,0.095402,0.125517647,0.098255556,0.476752572400339,0.298346654901758,0.270059403400246,13.94,0.46,93.39%
Brokerage & Investment Banking,39,0.1929588235,0.0665925,0.016499048,0.100527273,0.680420204874331,0.176203533050617,0.0054859831000654,14.08,1.1,14.06%
Building Materials,42,0.1574619048,0.1230689655,0.054005517,0.123795833,0.267332255269538,0.0429927383482712,0.122695426240581,23.33,1.71,14.05%
Business & Consumer Services,165,0.1280186364,0.09569410256,0.087307031,0.139768889,0.356597215876777,0.0382645142209292,0.148392507558659,32.33,1.88,10.24%
Cable TV,14,0.12545,0.03778571429,0.047659091,0.465666667,0.617058210679467,0.0855122809113561,0.301695301370598,156.56,0.53,11.76%
Chemical (Basic),43,0.02662125,0.06782176471,0.063163636,0.01561,0.158575370728036,0.0385091980785863,0.182766619220498,14.4,12.79,9.16%
Chemical (Diversified),6,-0.03885,-0.047995,-0.029125,0.047866667,0.216060885265815,0.0431477219672023,0.207946155212805,9.63,2.41,10.07%
Chemical (Specialty),94,0.02603588235,0.06782188679,0.062804651,0.04249375,0.311622361152883,0.0475566494532454,0.191634310998901,24.93,6.62,5.68%
Coal & Related Energy,22,0,-0.1168714286,0.1063,NULL,0.228446552275104,0.0493808392726443,0.201969193307658,7.06,NULL,11.59%
Computer Services,106,0.06892107143,0.1582766038,0.064734706,0.104227778,0.246354553700088,0.0433785412308004,0.110327962529415,26.62,1.72,17.29%
Computers/Peripherals,48,-0.02806363636,-0.01920681818,0.027843043,0.151757143,0.333394367285629,0.128276262227885,0.205358893756308,24.13,1.42,39.99%
Construction Supplies,44,0.129856,0.04333,0.015270968,0.148419231,0.225230939914766,0.0814685937916927,0.147600952323259,22.33,1.01,24.78%
Diversified,23,0.05815142857,0.15158,-0.001144444,0.098685714,0.208192287398544,0.0772144440219384,0.122658587770162,45.39,2.1,7.86%
Drugs (Biotechnology),503,0.1017692308,0.3189407746,0.681004907,0.068077778,0.668629110645083,-0.00844927546460429,0.210607168164344,77.3,3.08,-0.94%
Drugs (Pharmaceutical),267,0.05539,0.3172055,1.008502258,0.08984,0.702618449702521,0.183811485407737,0.320357228191068,22.48,2.37,21.51%
Education,35,0.05335,0.027605,0.078977143,0.131727273,0.416281480353118,0.0959421554089917,0.138099111492992,21.3,1.11,12.90%
Electrical Equipment,113,0.06061631579,0.091217,0.182139394,0.142247619,0.352480197129713,0.0888620817055956,0.172068917458637,27.67,1.42,20.08%
Electronics (Consumer & Office),20,-0.279,0.05860727273,0.124333333,0.145,0.334118402466842,-0.031353015623271,0.0336482443929279,18.4,1.04,-10.11%
Electronics (General),153,0.04253355556,0.07855029126,0.35349871,0.149396552,0.275581258583218,0.0570335899293885,0.142224322231558,49.25,1.77,11.29%
Engineering/Construction,54,0.1668357143,0.08433,0.104787931,0.139789474,0.117751459510509,0.00997770080928471,0.062653314458267,23.64,1.13,3.43%
Entertainment,107,0.13174,0.08047741935,0.153186296,0.13325,0.408955443529489,0.117282236247224,0.183898415190398,150.39,2.22,17.66%
Environmental & Waste Services,82,0.1341181818,0.2102567742,0.221308333,0.139508333,0.325809324172235,0.0582930290457316,0.202432275607788,70.27,2.29,10.68%
Farming/Agriculture,31,-0.02106555556,0.000246875,0.129199167,0.139614286,0.113610332033718,0.0246632429677095,0.0794164528775346,63.17,1.37,9.14%
Financial Svcs. (Non-bank & Insurance),232,0.1154833884,0.1086845139,0.06921087,0.11784,0.782843421099737,0.26937012466851,0.106639523690701,35.95,0.97,0.07%
